MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA,AUC
PCA,pima-indians-diabetes,_train,DTREE,NONE,NONE,0.618,0.616,0.546,0.618,0.5660000000000001,0.326,0.5814116002795248
PCA,pima-indians-diabetes,_train,GNB,NONE,NONE,0.6060000000000001,0.6359999999999999,0.4619999999999999,0.6020000000000001,0.4640000000000001,0.22200000000000006,0.5487477288609364
PCA,pima-indians-diabetes,_train,KNN,NONE,NONE,0.6799999999999999,0.6900000000000001,0.5740000000000001,0.6799999999999999,0.598,0.368,0.6320908455625437
PCA,pima-indians-diabetes,_train,LRG,NONE,NONE,0.5660000000000001,0.6459999999999999,0.374,0.54,0.222,0.06,0.5089091544374563
PCA,pima-indians-diabetes,_train,MLP,NONE,NONE,0.6579999999999999,0.6779999999999999,0.4739999999999999,0.63,0.46,0.22400000000000006,0.5777414395527602
PCA,pima-indians-diabetes,_train,QDA,NONE,NONE,0.6420000000000001,0.6679999999999999,0.494,0.636,0.5,0.26,0.5813095737246681
PCA,pima-indians-diabetes,_train,RF,NONE,NONE,0.6659999999999999,0.6839999999999999,0.5599999999999999,0.6700000000000002,0.586,0.348,0.6208832983927323
PCA,pima-indians-diabetes,_train,SGD,NONE,NONE,0.412,0.556,0.4360000000000001,0.4480000000000001,0.152,0.06000000000000001,0.4960349406009783
PCA,pima-indians-diabetes,_train,SVM,NONE,NONE,0.424,0.65,0.35,0.514,0.0,0.0,0.5
PCA,planning-relax,_train,ABC,NONE,NONE,0.5660000000000001,0.5700000000000001,0.366,0.5660000000000001,0.394,0.16399999999999998,0.4683916083916085
PCA,planning-relax,_train,DTREE,NONE,NONE,0.596,0.5780000000000001,0.426,0.584,0.464,0.22800000000000006,0.5020979020979021
PCA,planning-relax,_train,GNB,NONE,NONE,0.5599999999999999,0.654,0.298,0.584,0.174,0.052000000000000005,0.4743356643356644
PCA,planning-relax,_train,KNN,NONE,NONE,0.5,0.6199999999999999,0.258,0.55,0.052000000000000005,0.014000000000000002,0.43986013986013983
PCA,planning-relax,_train,LRG,NONE,NONE,0.508,0.7120000000000001,0.28800000000000003,0.598,0.0,0.0,0.5
PCA,planning-relax,_train,MLP,NONE,NONE,0.588,0.632,0.33399999999999996,0.594,0.326,0.12,0.4817482517482518
PCA,planning-relax,_train,QDA,NONE,NONE,0.6119999999999999,0.6819999999999999,0.384,0.6380000000000001,0.308,0.16399999999999998,0.5311888111888112
PCA,planning-relax,_train,RF,NONE,NONE,0.62,0.6920000000000001,0.33399999999999996,0.6199999999999999,0.22400000000000006,0.08800000000000001,0.5117482517482518
PCA,planning-relax,_train,SGD,NONE,NONE,0.6060000000000001,0.63,0.39,0.5519999999999999,0.204,0.07,0.51
PCA,planning-relax,_train,SVM,NONE,NONE,0.508,0.7120000000000001,0.28800000000000003,0.598,0.0,0.0,0.5
PCA,qsar-biodegradation,_train,ABC,NONE,NONE,0.852,0.85,0.804,0.852,0.826,0.6839999999999999,0.8291044428039058
PCA,qsar-biodegradation,_train,DTREE,NONE,NONE,0.812,0.8099999999999999,0.7639999999999999,0.812,0.782,0.618,0.7865760952606125
PCA,qsar-biodegradation,_train,GNB,NONE,NONE,0.8,0.6799999999999999,0.804,0.6859999999999999,0.7180000000000001,0.51,0.7431453750480501
PCA,qsar-biodegradation,_train,KNN,NONE,NONE,0.828,0.8219999999999998,0.8,0.8219999999999998,0.8079999999999999,0.6559999999999999,0.809766098589941
PCA,qsar-biodegradation,_train,LRG,NONE,NONE,0.7619999999999999,0.7340000000000001,0.508,0.688,0.51,0.268,0.6213248636503272
PCA,qsar-biodegradation,_train,MLP,NONE,NONE,0.858,0.858,0.8140000000000001,0.8559999999999999,0.8320000000000001,0.6920000000000001,0.8341522918486136
PCA,qsar-biodegradation,_train,QDA,NONE,NONE,0.7779999999999999,0.5920000000000001,0.7700000000000001,0.5860000000000001,0.626,0.384,0.6814227893339252
PCA,qsar-biodegradation,_train,RF,NONE,NONE,0.86,0.86,0.79,0.858,0.8160000000000001,0.674,0.8251843635755379
PCA,qsar-biodegradation,_train,SGD,NONE,NONE,0.778,0.7040000000000001,0.6679999999999999,0.68,0.624,0.4,0.6850003739463159
PCA,qsar-biodegradation,_train,SVM,NONE,NONE,0.4400000000000001,0.66,0.34,0.53,0.0,0.0,0.5
PCA,saheart,_train,ABC,NONE,NONE,0.696,0.7040000000000001,0.612,0.698,0.634,0.414,0.6570594262295082
PCA,saheart,_train,DTREE,NONE,NONE,0.6439999999999999,0.6359999999999999,0.5840000000000001,0.634,0.596,0.36200000000000004,0.6083196721311476
PCA,saheart,_train,GNB,NONE,NONE,0.7020000000000001,0.698,0.64,0.7,0.6579999999999999,0.4400000000000001,0.669931693989071
PCA,saheart,_train,KNN,NONE,NONE,0.556,0.5940000000000001,0.4320000000000001,0.57,0.4300000000000001,0.19399999999999998,0.5124590163934426
PCA,saheart,_train,LRG,NONE,NONE,0.43,0.654,0.34600000000000003,0.514,0.0,0.0,0.5
PCA,saheart,_train,MLP,NONE,NONE,0.6700000000000002,0.6859999999999999,0.5319999999999999,0.664,0.5559999999999999,0.31399999999999995,0.6101024590163935
PCA,saheart,_train,QDA,NONE,NONE,0.6920000000000001,0.6980000000000001,0.5920000000000001,0.6900000000000001,0.622,0.39,0.6464617486338797
PCA,saheart,_train,RF,NONE,NONE,0.6980000000000001,0.706,0.5920000000000001,0.696,0.618,0.38799999999999996,0.6484084699453552
PCA,saheart,_train,SGD,NONE,NONE,0.424,0.522,0.57,0.4420000000000001,0.31399999999999995,0.168,0.5461714480874317
PCA,saheart,_train,SVM,NONE,NONE,0.43,0.654,0.34600000000000003,0.514,0.0,0.0,0.5
PCA,seismic-bumps,_train,ABC,NONE,NONE,0.89,0.932,0.09,0.904,0.096,0.024,0.5094859845435558
PCA,seismic-bumps,_train,DTREE,NONE,NONE,0.892,0.8859999999999999,0.23800000000000004,0.89,0.418,0.188,0.5618070536892369
PCA,seismic-bumps,_train,GNB,NONE,NONE,0.924,0.35600000000000004,0.884,0.45799999999999996,0.54,0.278,0.6200046137885067
PCA,seismic-bumps,_train,KNN,NONE,NONE,0.8960000000000001,0.93,0.116,0.9079999999999999,0.20199999999999999,0.054000000000000006,0.5229479127028765
PCA,seismic-bumps,_train,LRG,NONE,NONE,0.8699999999999999,0.93,0.07,0.9,0.0,0.0,0.5
PCA,seismic-bumps,_train,MLP,NONE,NONE,0.8699999999999999,0.93,0.07,0.9,0.0,0.0,0.5
PCA,seismic-bumps,_train,QDA,NONE,NONE,0.914,0.436,0.5920000000000001,0.424,0.19399999999999998,0.052000000000000005,0.5159859433580396
