,MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA
147,PCA,contraceptive,_Borderline1,RF,NONE,NONE,0.194,0.2240000000000001,0.79,0.20600000000000002,0.28600000000000003,0.14600000000000002
148,PCA,contraceptive,_Borderline1,SGD,NONE,NONE,0.172,0.22000000000000008,0.812,0.172,0.21600000000000003,0.106
149,PCA,contraceptive,_Borderline1,SVM,NONE,NONE,0.19,0.2280000000000001,0.774,0.084,0.024,0.0
150,PCA,dermatology,_Borderline1,ABC,NONE,NONE,0.29800000000000004,0.28600000000000003,0.9399999999999998,0.292,0.3,0.28600000000000003
151,PCA,dermatology,_Borderline1,DTREE,NONE,NONE,0.506,0.4940000000000001,0.9359999999999999,0.4980000000000001,0.5199999999999999,0.486
152,PCA,dermatology,_Borderline1,GNB,NONE,NONE,0.46,0.52,0.922,0.48200000000000004,0.522,0.506
153,PCA,dermatology,_Borderline1,KNN,NONE,NONE,0.496,0.506,0.932,0.502,0.514,0.502
154,PCA,dermatology,_Borderline1,LRG,NONE,NONE,0.518,0.4560000000000001,0.93,0.476,0.4920000000000001,0.45
155,PCA,dermatology,_Borderline1,MLP,NONE,NONE,0.514,0.51,0.9359999999999999,0.514,0.518,0.508
156,PCA,dermatology,_Borderline1,QDA,NONE,NONE,0.3840000000000001,0.46399999999999997,0.912,0.41200000000000003,0.46799999999999997,0.442
157,PCA,dermatology,_Borderline1,RF,NONE,NONE,0.524,0.5199999999999999,0.938,0.5199999999999999,0.526,0.518
158,PCA,dermatology,_Borderline1,SGD,NONE,NONE,0.4980000000000001,0.48,0.922,0.466,0.4980000000000001,0.446
159,PCA,dermatology,_Borderline1,SVM,NONE,NONE,0.142,0.194,0.8400000000000001,0.092,0.08800000000000001,0.034
160,PCA,glass,_Borderline1,ABC,NONE,NONE,0.23399999999999999,0.314,0.8200000000000001,0.242,0.282,0.188
161,PCA,glass,_Borderline1,DTREE,NONE,NONE,0.31599999999999995,0.314,0.858,0.306,0.388,0.276
162,PCA,glass,_Borderline1,GNB,NONE,NONE,0.316,0.35600000000000004,0.8460000000000001,0.312,0.398,0.27
163,PCA,glass,_Borderline1,KNN,NONE,NONE,0.28600000000000003,0.304,0.8340000000000001,0.284,0.378,0.252
164,PCA,glass,_Borderline1,LRG,NONE,NONE,0.0,0.0,1.0,0.0,0.0,0.0
165,PCA,glass,_Borderline1,MLP,NONE,NONE,0.278,0.376,0.8019999999999999,0.31,0.35800000000000004,0.256
166,PCA,glass,_Borderline1,QDA,NONE,NONE,0.002,0.052000000000000005,0.948,0.004,0.0,0.0
167,PCA,glass,_Borderline1,RF,NONE,NONE,0.29600000000000004,0.304,0.8360000000000001,0.294,0.364,0.268
168,PCA,glass,_Borderline1,SGD,NONE,NONE,0.188,0.28,0.8540000000000001,0.21,0.212,0.158
169,PCA,glass,_Borderline1,SVM,NONE,NONE,0.0,0.0,1.0,0.0,0.0,0.0
170,PCA,new-thyroid,_Borderline1,ABC,NONE,NONE,0.136,0.11,0.8619999999999999,0.118,0.124,0.098
171,PCA,new-thyroid,_Borderline1,DTREE,NONE,NONE,0.132,0.136,0.866,0.134,0.14,0.13
172,PCA,new-thyroid,_Borderline1,GNB,NONE,NONE,0.136,0.128,0.8620000000000001,0.132,0.134,0.122
173,PCA,new-thyroid,_Borderline1,KNN,NONE,NONE,0.124,0.136,0.866,0.13,0.138,0.132
174,PCA,new-thyroid,_Borderline1,LRG,NONE,NONE,0.168,0.228,0.8540000000000001,0.14400000000000002,0.14800000000000002,0.086
175,PCA,new-thyroid,_Borderline1,MLP,NONE,NONE,0.128,0.14,0.8640000000000001,0.134,0.14200000000000002,0.132
